n02691156	airplane	133_200_166
n02419796	antelope	200_100_100
n02131653	bear	200_166_100
n02834778	bicycle	166_200_100
n01503061	bird	200_200_200
n02924116	bus	166_133_133
n02958343	car	133_133_133
n02402425	cattle	100_100_100
n02084071	dog	100_100_133
n02121808	domestic_cat	166_100_200
n02503517	elephant	200_166_133
n02118333	fox	133_200_133
n02510455	giant_panda	166_166_166
n02342885	hamster	166_133_166
n02374451	horse	133_100_100
n02129165	lion	100_200_200
n01674464	lizard	166_200_166
n02484322	monkey	166_200_133
n03790512	motorcycle	100_166_166
n02324045	rabbit	166_133_200
n02509815	red_panda	133_200_100
n02411705	sheep	133_166_200
n01726692	snake	100_200_166
n02355227	squirrel	200_133_200
n02129604	tiger	133_166_133
n04468005	train	100_100_166
n01662784	turtle	166_166_100
n04530566	watercraft	166_100_166
n02062744	whale	200_166_200
n02391049	zebra	200_100_133
