airplane	133_200_166
antelope	200_100_100
bear	200_166_100
bicycle	166_200_100
bird	200_200_200
bus	166_133_133
car	133_133_133
cattle	100_100_100
dog	100_100_133
domestic_cat	166_100_200
elephant	200_166_133
fox	133_200_133
giant_panda	166_166_166
hamster	166_133_166
horse	133_100_100
lion	100_200_200
lizard	166_200_166
monkey	166_200_133
motorcycle	100_166_166
rabbit	166_133_200
red_panda	133_200_100
sheep	133_166_200
snake	100_200_166
squirrel	200_133_200
tiger	133_166_133
train	100_100_166
turtle	166_166_100
watercraft	166_100_166
whale	200_166_200
zebra	200_100_133
